Siruta,Locality,V1,V2,V3,V4,V5,C1,C2,C3,C4,C5,C6,C7,C8
94580,STEFAN VODA,409621,250744,1235254,609000,86777,1363050,1420645,400525,798546,4000,868234,31048,123830
105455,TAMADAU MARE,304069,375957,1305536,763000,5157871,1505636,1051178,262880,1321163,9770,1196680,0,45274
105605,ULMENI,995245,472580,2560038,895000,2204128,2591513,2158191,746366,1418869,132312,1999127,0,52767
94606,ULMU,345941,215508,866633,461000,110302,1124689,977720,217214,834327,49999,667619,34562,179151
94651,UNIREA,116853,361780,1301000,702000,992170,1740631,1458024,393791,1010923,0,1003324,0,128975
105712,VALEA ARGOVEI,267985,249968,1213500,599000,34590,1305730,863745,377153,792627,0,1232559,0,67809
105829,VASILATI,164131,511682,1996192,957000,71096,2029726,1273955,581973,721180,0,1860217,0,34439
94731,VALCELELE,484722,173488,1419970,339000,3588531,1435439,1162177,401121,813672,180381,927586,0,63308
94768,VLAD TEPES,222832,323856,1210799,667000,4131,1226240,520841,425118,712898,10502,998802,0,14148
54975,MUN. CLUJ-NAPOCA,388000000,4151689,211000000,1026000,39300000,243000000,216000000,70600000,93400000,13100000,284000000,26900000,26000000
55259,MUN. TURDA,19700000,13300000,34100000,4379000,4993964,40500000,29400000,8672365,13500000,3658861,31000000,3241912,10400000
55008,MUN. DEJ,21800000,4662990,28800000,2051000,5957481,36200000,18600000,2654193,8902662,1610220,27500000,2006278,11900000
55357,MUN. CAMPIA-TURZII,7120821,7652448,15700000,2788000,307048,18800000,15200000,2424319,7805043,291668,14500000,1549266,3834360
55384,MUN. GHERLA,8575577,4122557,16400000,2114000,131576,17600000,8466648,1019170,3867585,0,15900000,789875,2306715
55446,ORS. HUEDIN,4035759,2079360,8883680,1417000,342313,9471602,4154667,788336,4497013,421862,7938167,697583,2261205
55473,COMUNA AGHIRESU,808079,2669015,3187124,1197000,98098,3910007,5097766,464727,2366514,258439,2982930,0,875701
55598,COMUNA AITON,133266,569564,319909,593000,1159245,543115,709286,127914,552056,31357,293387,2075,49834
55623,COMUNA ALUNIS,47939,983431,826649,435000,602315,1198059,1080099,3000,858922,0,695166,0,38929
55687,COMUNA APAHIDA,7595052,1893688,5541220,412000,149317,7934256,6779259,876894,3420598,446061,4410865,0,1228949
55776,COMUNA ASCHILEU,93414,1299047,972423,267000,1200193,1247401,1044028,117682,1032867,3999,1445830,0,121699
55838,COMUNA BACIU,3852640,3848488,3345132,893000,3215,3193610,5498166,783308,1786731,173922,2996881,0,966168
55918,COMUNA BAISOARA,213323,1405527,1223425,317000,972193,1604889,818503,193556,1048966,0,958851,0,210858
56014,COMUNA BELIS,245871,1119238,1019750,223000,1026183,1341299,1408036,140200,819692,44539,1004822,43650,84316
56096,COMUNA BOBILNA,89163,1326133,793866,272000,624598,1031511,906002,166073,1012608,3990,720646,0,10000
56210,COMUNA BONTIDA,933341,2367636,2809379,562000,28523,3278355,1806884,321596,1902029,0,2819101,0,841936
56265,COMUNA BORSA,380642,1059970,815691,233000,182274,1235930,843957,136000,2436741,38224,602517,0,63845
56327,COMUNA BUZA,88685,1189283,909022,260000,95895,1287860,1165411,22748,716573,0,792460,31848,166739
56354,COMUNA CAIANU,134791,1563200,1233173,330000,55900,1409558,999095,234195,803003,4028,1184941,0,187832
56425,COMUNA CALARASI,103989,1613236,934601,376000,522,1159309,872335,190683,1196142,64953,819026,0,45680
56461,COMUNA CALATELE,332068,1633553,1685850,373000,362011,1914248,2159342,356618,680184,136797,1002863,0,430966
56522,COMUNA CAMARASU,170303,1757073,1628245,378000,36014,1697566,1236157,322589,724973,45473,1407830,0,213058
56568,COMUNA CAPUSU MARE,701356,1730879,2041748,411000,3547129,2226180,2084356,288882,1195127,11633,1759509,0,211777
56666,COMUNA CASEIU,311413,2550645,2466017,573000,242395,2532225,1415089,505847,1273200,187166,1842815,0,109355
56773,COMUNA CATINA,154599,1347233,1130503,277000,209356,1340333,943281,278023,1010256,0,974452,0,450174
56844,COMUNA CEANU MARE,168790,2741540,1960984,622000,1230964,2020844,1969493,503179,954976,188013,1726230,0,126462
56988,COMUNA CHINTENI,204325,2132445,1091114,456000,9139441,1617259,7036677,205855,6420358,200493,1341620,30293,468528
57083,COMUNA CHIUIESTI,135562,1598395,1661810,365000,173638,2021437,1056056,211499,1297679,1393,1286172,0,75698
57314,COMUNA CITCAU,396810,1342241,880343,302000,289509,1291341,1022962,128632,1739892,0,703528,0,210953
57163,COMUNA CIUCEA,312459,1008741,944319,220000,3109611,1217171,892163,133365,788252,0,810605,0,99108
57225,COMUNA CIURILA,156105,1185536,902179,263000,86743,1129584,1180653,327551,1403315,0,803280,0,315898
57350,COMUNA COJOCNA,313875,2386944,2026682,516000,4412985,2614503,1980885,434998,1009235,132275,2203431,52738,100175
57449,COMUNA CORNESTI,107559,1347233,795778,278000,231346,1333140,840620,208061,1067418,7000,585278,0,465415
55062,COMUNA CUZDRIOARA,233018,1671689,1303762,357000,102585,1646081,800915,253136,849298,0,875819,0,467880
57546,COMUNA DABICA,186961,1228699,1029763,272000,0,1166688,740990,195920,905846,0,987788,0,26157
57582,COMUNA FELEACU,700440,2206909,1604379,478000,486077,1905934,1127149,342714,923956,0,1358096,0,138608
57644,COMUNA FIZESU GHERLII,122351,1678756,1057743,385000,2947016,1250724,768740,259763,659053,33981,744011,43227,175933
57706,COMUNA FLORESTI,12600000,5363342,7339972,1297000,160255,8666680,9152290,1888486,4454615,1418789,10500000,271087,974529
57742,COMUNA FRATA,225491,2440184,2111792,572000,3471845,2482807,1605512,373139,1411519,0,1479521,0,483482
57831,COMUNA GEACA,82355,1265898,940696,283000,486656,1200052,710056,164824,1301205,0,714706,0,424536
57902,COMUNA GILAU,5174251,2005181,4893100,439000,987507,4946903,3164640,733011,1536977,0,5421554,0,1093707
57948,COMUNA GIRBAU,272471,1511848,1031685,320000,2255150,1270907,1402908,197876,979809,0,840466,0,357333
58008,COMUNA IARA,290986,2438863,1782208,484000,1301061,2061375,1351874,467195,1370308,100676,1232655,7830,92422
58142,COMUNA ICLOD,1209954,2323415,2068927,460000,3161209,2349851,1441581,370934,894981,82152,1676415,0,3336680
58204,COMUNA IZVORU CRISULUI,143451,1262061,1076984,167000,1489188,1497000,758042,33829,1056590,67993,1007245,0,142601
55106,COMUNA JICHISU DE JOS,68048,1026577,447312,141000,3084565,1102999,2235587,101360,1049297,0,158353,0,78195
58259,COMUNA JUCU,7674348,832742,1531174,95000,1370,2076468,3643680,651860,1856738,374951,1997192,0,2210510
58311,COMUNA LUNA,2672015,995473,1980241,135000,90305,2444186,1042692,495628,992468,269996,2457807,0,250399
58357,COMUNA MAGURI-RACATAU,148972,1904457,2214812,353000,555374,2591814,1706156,202523,887369,0,1962001,0,259239
58393,COMUNA MANASTIRENI,88211,1161224,1020819,176000,100329,1260841,617824,312070,968317,20883,645689,0,29614
58464,COMUNA MARGAU,215188,1399255,1242539,233000,1238370,1571407,1738518,177177,994089,137620,1003182,0,336629
58534,COMUNA MARISEL,272175,1143138,1302965,171000,0,1693860,1201357,81828,979282,39552,901899,0,362286
55160,COMUNA MICA,213597,2194872,1565300,430000,4662,2194961,901036,225797,1428282,0,1168774,0,257774
55277,COMUNA MIHAI VITEAZU,2619500,2491606,2563662,471000,3320507,3248598,2713152,560665,3585535,229220,2341703,141016,1806133
58552,COMUNA MINTIU GHERLII,487201,2314375,1799463,458000,9029422,2080156,1302497,307682,1217971,998,1156904,0,1005111
58623,COMUNA MOCIU,244782,2087280,1531078,398000,136072,1783682,1958065,361597,1248801,52788,1432532,98340,496046
58721,COMUNA MOLDOVENESTI,599254,2219380,1691996,404000,3797973,2001734,2202299,317339,1519082,114467,1630345,0,242278
58794,COMUNA PALATCA,78100,1252523,817314,192000,222857,1109557,950631,122406,704918,8038,887855,0,294605
58856,COMUNA PANTICEU,94163,1439441,1057769,243000,118784,1387649,1212166,140917,1136214,0,858769,0,19797
58918,COMUNA PETRESTII DE JOS,105751,1362016,999584,219000,68655,1238383,1096837,279695,815627,0,940798,0,43800
58990,COMUNA PLOSCOS,54060,860759,474492,96000,71789,765749,698368,89379,482304,0,370579,29969,38399
59041,COMUNA POIENI,683309,2795469,2603809,572000,5358371,2872678,2651280,463941,860277,98072,1845703,2000,551534
59130,COMUNA RECEA-CRISTUR,183516,1279645,607017,199000,203568,959791,847518,264003,1078183,25410,384861,834,577735
59238,COMUNA RISCA,106562,1374069,1025689,223000,16919,1234548,735283,171618,462696,0,813563,5611,104699
59283,COMUNA SACUIEU,92409,1198500,1160642,191000,46067,1457808,555828,229895,943175,17048,928353,0,31045
55311,COMUNA SANDULESTI,149860,1358106,1067027,224000,1483019,1485981,992823,181604,1334343,163233,949290,0,108151
59327,COMUNA SAVADISLA,1225399,1959118,2217265,334000,135189,2576491,2612675,313709,1241839,3363,2332338,0,444610
59416,COMUNA SIC,245696,1641892,1633768,267000,74156,1707121,1664845,326196,724996,77007,905939,256662,771582
59434,COMUNA SINCRAIU,169271,1397410,1224176,186000,30140,1542642,772125,91933,623189,23508,1167277,0,305242
